,Molecular weight,Isoelectric point,Dipole,Formal charge,Average charge,Area,ALASurfFrac,ARGSurfFrac,ASNSurfFrac,ASPSurfFrac,CYSSurfFrac,GLNSurfFrac,GLUSurfFrac,GLYSurfFrac,HISSurfFrac,ILESurfFrac,LEUSurfFrac,LYSSurfFrac,METSurfFrac,PHESurfFrac,PROSurfFrac,SERSurfFrac,THRSurfFrac,TRPSurfFrac,TYRSurfFrac,VALSurfFrac,NSurfPoints,Shape max,Shape min,SurfEpMaxFormal,SurfEpMinFormal,SurfEpMeanFormal,SurfEpTrimeanFormal,SurfEpMedianFormal,SurfEpSumFormal,SurfEpStdFormal,NSurfPosEpFormal,SurfEpPosMeanFormal,SurfEpPosTrimeanFormal,SurfEpPosMedianFormal,SurfEpPosSumFormal,SurfEpPosStdFormal,NSurfNegEpFormal,SurfEpNegMeanFormal,SurfEpNegTrimeanFormal,SurfEpNegMedianFormal,SurfEpNegSumFormal,SurfEpNegStdFormal,SurfMhpMax,SurfMhpMin,SurfMhpMean,SurfMhpTrimean,SurfMhpMedian,SurfMhpSum,SurfMhpStd,NSurfPosMhp,SurfPosMhpMean,SurfPosMhpTrimean,SurfPosMhpMedian,SurfPosMhpSum,SurfPosMhpStd,NSurfNegMhp,SurfNegMhpMean,SurfNegMhpTrimean,SurfNegMhpMedian,SurfNegMhpSum,SurfNegMhpStd,SurfEpMaxAverage,SurfEpMinAverage,SurfEpMeanAverage,SurfEpTrimeanAverage,SurfEpMedianAverage,SurfEpSumAverage,SurfEpStdAverage,NSurfPosEpAverage,SurfEpPosMeanAverage,SurfEpPosTrimeanAverage,SurfEpPosMedianAverage,SurfEpPosSumAverage,SurfEpPosStdAverage,NSurfNegEpAverage,SurfEpNegMeanAverage,SurfEpNegTrimeanAverage,SurfEpNegMedianAverage,SurfEpNegSumAverage,SurfEpNegStdAverage,ShellEpMaxFormal,ShellEpminFormal,ShellEpMeanFormal,ShellEpTrimeanFormal,ShellEpMedianFormal,ShellEpSumFormal,ShellEpStdFormal,NShellPosEpFormal,ShellEpPosMeanFormal,ShellEpPosTrimeanFormal,ShellEpPosMedianFormal,ShellEpPosSumFormal,ShellEpPosStdFormal,NShellNegEpFormal,ShellEpNegMeanFormal,ShellEpNegTrimeanFormal,ShellEpNegMedianFormal,ShellEpNegSumFormal,ShellEpNegStdFormal
alpha-chymotrypsin,24950.36,8.122,396.005,4.0,4.587076885895915,9953.187,0.077,0.032,0.075,0.04,0.016,0.055,0.031,0.039,0.01,0.018,0.044,0.167,0.01,0.033,0.017,0.138,0.112,0.02,0.027,0.039,10503.0,0.725,0.392,2.67,-1.56,0.545,0.548,0.53,5727.82,0.588,8679.0,0.727,0.678,0.67,6306.84,0.461,1776.0,-0.326,-0.272,-0.25,-579.02,0.278,0.354,-0.474,-0.078,-0.083,-0.082,-824.124,0.092,1768.0,0.071,0.061,0.058,124.932,0.054,8735.0,-0.109,-0.1,-0.098,-949.056,0.065,2.75,-1.47,0.648,0.648,0.63,6801.82,0.587,9125.0,0.792,0.752,0.74,7223.4,0.478,1341.0,-0.314,-0.265,-0.24,-421.58,0.265,0.254,-0.136,0.065,0.064,0.057,7.759,0.084,92.0,0.098,0.095,0.093,8.974,0.065,28.0,-0.043,-0.043,-0.046,-1.214,0.03
alpha-chymotrypsinogen a,25666.12,8.131,515.695,4.0,5.104706875687402,10479.594,0.07,0.038,0.086,0.039,0.019,0.054,0.023,0.043,0.01,0.025,0.048,0.16,0.0,0.033,0.023,0.135,0.112,0.019,0.017,0.045,11024.0,0.723,0.365,2.43,-2.18,0.57,0.607,0.615,6288.19,0.64,9106.0,0.785,0.75,0.74,7152.21,0.446,1886.0,-0.458,-0.385,-0.35,-864.02,0.385,0.402,-0.426,-0.074,-0.079,-0.077,-815.116,0.086,1891.0,0.065,0.055,0.052,122.767,0.052,9133.0,-0.103,-0.095,-0.092,-937.883,0.06,2.61,-1.93,0.762,0.794,0.8,8402.06,0.622,9779.0,0.91,0.883,0.88,8896.68,0.478,1209.0,-0.409,-0.35,-0.32,-494.62,0.343,0.222,-0.117,0.051,0.05,0.046,6.157,0.083,87.0,0.088,0.081,0.07,7.678,0.063,33.0,-0.046,-0.044,-0.039,-1.521,0.036
aprotinin,6389.41,9.387,228.823,6.0,6.025538871351111,3788.273,0.059,0.232,0.015,0.046,0.029,0.017,0.042,0.039,0.0,0.041,0.049,0.171,0.022,0.028,0.084,0.012,0.052,0.0,0.046,0.016,4054.0,0.657,0.433,2.82,0.02,1.417,1.458,1.5,5746.53,0.518,4054.0,1.417,1.458,1.5,5746.53,0.518,0.0,0.0,0.0,0.0,0.0,0.0,0.327,-0.351,-0.064,-0.069,-0.071,-258.783,0.079,732.0,0.062,0.053,0.05,45.385,0.048,3322.0,-0.092,-0.085,-0.084,-304.168,0.053,2.82,0.04,1.424,1.463,1.5,5771.44,0.516,4054.0,1.424,1.463,1.5,5771.44,0.516,0.0,0.0,0.0,0.0,0.0,0.0,0.395,-0.01,0.203,0.205,0.208,24.388,0.089,119.0,0.205,0.208,0.209,24.398,0.087,1.0,-0.01,,-0.01,-0.01,0.0
avidin,13887.66,9.989,679.939,5.0,5.631144184406743,8006.982,0.029,0.159,0.101,0.049,0.0,0.013,0.064,0.037,0.013,0.082,0.037,0.109,0.013,0.019,0.006,0.044,0.146,0.035,0.001,0.045,8524.0,0.577,0.333,3.24,-1.16,0.892,0.878,0.85,7601.32,0.656,7653.0,1.028,0.98,0.95,7868.63,0.539,855.0,-0.313,-0.265,-0.25,-267.31,0.236,0.369,-0.44,-0.067,-0.072,-0.073,-572.763,0.087,1824.0,0.06,0.054,0.052,109.807,0.042,6700.0,-0.102,-0.094,-0.091,-682.57,0.06,3.32,-1.07,1.009,1.019,1.025,8598.38,0.65,7806.0,1.126,1.092,1.08,8789.01,0.542,702.0,-0.272,-0.212,-0.19,-190.63,0.229,0.378,-0.152,0.097,0.097,0.099,11.685,0.115,94.0,0.141,0.133,0.128,13.294,0.087,26.0,-0.062,-0.057,-0.053,-1.609,0.042
beta-chymotrypsin,27712.77,6.877,645.186,0.0,1.6608452559184217,12964.788,0.071,0.063,0.049,0.081,0.017,0.033,0.034,0.044,0.016,0.023,0.102,0.136,0.027,0.045,0.041,0.077,0.052,0.031,0.009,0.048,13737.0,0.37,0.424,1.74,-2.75,-0.164,-0.132,-0.11,-2250.72,0.75,6065.0,0.495,0.442,0.43,2999.89,0.369,7597.0,-0.691,-0.602,-0.61,-5250.61,0.532,0.357,-0.474,-0.049,-0.053,-0.062,-670.47,0.103,4147.0,0.077,0.068,0.065,321.312,0.055,9590.0,-0.103,-0.095,-0.093,-991.783,0.064,1.94,-2.37,0.088,0.11,0.1,1206.19,0.721,7670.0,0.59,0.545,0.52,4526.88,0.412,5963.0,-0.557,-0.445,-0.4,-3320.69,0.488,0.217,-0.305,0.032,0.048,0.054,3.796,0.104,88.0,0.081,0.075,0.071,7.158,0.05,32.0,-0.105,-0.085,-0.067,-3.361,0.092
bovine serum albumin,66462.98,5.375,1069.378,-19.0,-9.34825271862544,27637.173,0.065,0.041,0.025,0.111,0.017,0.043,0.181,0.009,0.036,0.008,0.039,0.197,0.003,0.016,0.056,0.03,0.07,0.002,0.016,0.034,29037.0,0.591,0.091,1.08,-4.95,-1.805,-1.828,-1.84,-52425.97,0.808,425.0,0.265,0.235,0.22,112.53,0.208,28600.0,-1.837,-1.84,-1.85,-52538.5,0.773,0.387,-0.602,-0.104,-0.104,-0.102,-3006.173,0.085,2735.0,0.062,0.046,0.041,168.894,0.062,26302.0,-0.121,-0.113,-0.11,-3175.067,0.067,2.43,-3.21,-0.699,-0.745,-0.75,-20305.66,0.788,5235.0,0.524,0.445,0.41,2741.05,0.436,23715.0,-0.972,-0.95,-0.95,-23046.71,0.559,0.064,-0.582,-0.254,-0.252,-0.25,-30.519,0.123,3.0,0.038,0.038,0.04,0.113,0.022,117.0,-0.262,-0.258,-0.256,-30.632,0.115
carbonic anhydrase,26451.24,4.24,392.471,-21.0,-15.671939590127066,11208.402,0.04,0.058,0.072,0.135,0.0,0.079,0.089,0.057,0.061,0.009,0.067,0.0,0.0,0.025,0.121,0.043,0.06,0.016,0.023,0.044,11855.0,0.673,0.161,-1.74,-5.15,-3.231,-3.22,-3.21,-38307.93,0.518,0.0,0.0,0.0,0.0,0.0,0.0,11855.0,-3.231,-3.22,-3.21,-38307.93,0.518,0.436,-0.489,-0.078,-0.083,-0.082,-929.459,0.084,1791.0,0.064,0.053,0.049,114.213,0.054,10064.0,-0.104,-0.096,-0.094,-1043.672,0.06,-0.32,-4.39,-2.365,-2.388,-2.4,-28033.0,0.657,0.0,0.0,0.0,0.0,0.0,0.0,11855.0,-2.365,-2.388,-2.4,-28033.0,0.657,-0.255,-0.801,-0.456,-0.443,-0.444,-54.744,0.112,0.0,0.0,0.0,0.0,0.0,0.0,120.0,-0.456,-0.443,-0.444,-54.744,0.112
conalbumin,74538.61,6.788,920.333,-1.0,5.948804951955764,27819.009,0.018,0.092,0.08,0.108,0.009,0.054,0.108,0.043,0.013,0.02,0.032,0.191,0.013,0.012,0.046,0.062,0.05,0.007,0.014,0.028,29209.0,0.617,0.098,2.09,-2.57,-0.229,-0.245,-0.25,-6695.15,0.652,10046.0,0.471,0.397,0.37,4736.58,0.388,19020.0,-0.601,-0.548,-0.52,-11431.73,0.418,0.362,-0.567,-0.107,-0.108,-0.105,-3110.835,0.084,2801.0,0.061,0.049,0.045,170.043,0.052,26408.0,-0.124,-0.116,-0.113,-3280.878,0.066,2.9,-1.63,0.547,0.54,0.55,15982.82,0.627,23494.0,0.76,0.71,0.7,17857.36,0.488,5566.0,-0.337,-0.285,-0.27,-1874.54,0.276,0.376,-0.342,-0.037,-0.038,-0.045,-4.447,0.131,48.0,0.091,0.078,0.071,4.366,0.078,72.0,-0.122,-0.113,-0.11,-8.813,0.079
horse cytochrome c,11701.55,10.156,204.258,11.0,12.633584048829796,8278.645,0.031,0.018,0.039,0.033,0.007,0.034,0.133,0.073,0.023,0.054,0.043,0.286,0.028,0.043,0.034,0.0,0.059,0.002,0.026,0.035,8852.0,0.521,0.038,3.83,-0.23,2.026,2.112,2.19,17932.3,0.678,8832.0,2.031,2.115,2.19,17934.44,0.671,18.0,-0.119,-0.121,-0.12,-2.14,0.065,0.368,-0.488,-0.072,-0.079,-0.083,-640.327,0.1,1918.0,0.075,0.066,0.062,144.687,0.057,6934.0,-0.113,-0.106,-0.103,-785.014,0.065,4.31,-0.07,2.345,2.438,2.52,20761.21,0.758,8846.0,2.347,2.438,2.52,20761.43,0.756,6.0,-0.037,-0.035,-0.03,-0.22,0.026,0.493,-0.054,0.233,0.236,0.237,28.014,0.127,112.0,0.252,0.246,0.244,28.267,0.109,8.0,-0.032,-0.032,-0.033,-0.253,0.015
human serum albumin,64779.3,5.709,1008.93,-13.0,-3.8664419703739767,26717.801,0.087,0.043,0.031,0.096,0.021,0.048,0.197,0.005,0.031,0.004,0.038,0.2,0.007,0.016,0.048,0.027,0.054,0.002,0.012,0.034,27912.0,0.575,0.153,1.9,-4.25,-1.158,-1.2,-1.22,-32327.24,0.804,2199.0,0.472,0.402,0.37,1038.53,0.378,25681.0,-1.299,-1.285,-1.3,-33365.77,0.664,0.43,-0.526,-0.103,-0.104,-0.102,-2863.817,0.085,2658.0,0.063,0.051,0.046,167.457,0.057,25254.0,-0.12,-0.112,-0.11,-3031.274,0.067,2.86,-2.71,-0.088,-0.15,-0.16,-2453.42,0.821,11830.0,0.677,0.56,0.51,8008.14,0.555,15955.0,-0.656,-0.61,-0.59,-10461.56,0.44,0.12,-0.512,-0.185,-0.192,-0.193,-22.211,0.123,8.0,0.069,0.066,0.062,0.552,0.027,112.0,-0.203,-0.207,-0.206,-22.763,0.105
