experiment,experiment_name,condition,condition_idx,n_components,alpha,var_thresh,corr_thresh,n_full,n_dedup,n_features,r2_full,r2_dedup,mae_full,mae_dedup,std_r2_full,std_r2_dedup,delta_r2,n_seeds
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.0,0.8,20,13,29,0.1804510047350142,0.01506889185394722,0.05592961026285311,0.06957761099609058,0.0,0.0,0.16538211288106697,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.0,0.8,20,13,29,0.3718519927911552,0.5512551813311186,0.04583919158578586,0.04440971356501847,0.0,0.0,-0.1794031885399634,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.0,0.8,20,13,29,0.35280720832664797,0.544746934027779,0.048724830430004806,0.04266356526927236,5.551115123125783e-17,0.0,-0.191939725701131,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.0,0.8,20,13,29,0.6061654448908965,0.5344066524831617,0.03787528504105585,0.04551389193560062,0.0,0.0,0.07175879240773486,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.0,0.8,20,13,29,0.6104062720253123,0.2801800700796344,0.038455506052527726,0.05949526177032379,0.0,0.0,0.33022620194567787,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.0,0.8,20,13,29,-0.09161199831421452,0.5994463299633094,0.06843413743632894,0.04326948591170245,0.0,0.0,-0.6910583282775239,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.0,0.8,20,13,29,0.4428078809311116,0.5994463299633094,0.042667406163784706,0.04326948591170245,5.551115123125783e-17,0.0,-0.15663844903219776,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.0,0.85,20,13,35,0.22063878100992795,0.1697322379144972,0.054521537879626526,0.06272791880830063,0.0,0.0,0.050906543095430745,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.0,0.85,20,13,35,0.3127712318179473,0.44855886546889523,0.04777739881553424,0.050070493478828616,0.0,0.0,-0.13578763365094793,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.0,0.85,20,13,35,0.3656097794481606,0.528800056103603,0.047755173142188766,0.046205213078851615,5.551115123125783e-17,0.0,-0.16319027665544245,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.0,0.85,20,13,35,0.6070205906581554,0.4779856051889306,0.03826759631950201,0.0481334295630839,0.0,5.551115123125783e-17,0.12903498546922482,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.0,0.85,20,13,35,0.5577949849570383,0.25120855436685263,0.042190242701991704,0.05990671785685469,0.0,0.0,0.30658643059018564,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.0,0.85,20,13,35,0.16570168835021293,0.5860743499179975,0.057223709392853685,0.04396828067176531,0.0,0.0,-0.4203726615677845,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.0,0.85,20,13,35,0.4674535983928909,0.5860743499179975,0.04101956238982599,0.04396828067176531,0.0,0.0,-0.11862075152510654,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.0,0.9,20,13,41,0.26353555748142066,0.2789649072741782,0.05273187231880453,0.06139065240548954,0.0,0.0,-0.015429349792757563,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.0,0.9,20,13,41,0.3823207994680209,0.47187547146314507,0.04588001306491538,0.04976201890562396,0.0,5.551115123125783e-17,-0.08955467199512418,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.0,0.9,20,13,41,0.38585908170988814,0.5747328679073288,0.0466852108274933,0.04478449771769374,0.0,0.0,-0.18887378619744066,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.0,0.9,20,13,41,0.6457848272340372,0.5104483854088842,0.03690605434322558,0.0489700898325712,0.0,0.0,0.13533644182515303,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.0,0.9,20,13,41,0.6880382689580684,0.3957069190424516,0.03653566407816834,0.05735009744311174,0.0,0.0,0.2923313499156168,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.0,0.9,20,13,41,0.518279716142088,0.6530389810094871,0.044593460671607445,0.04163112350288535,0.0,0.0,-0.1347592648673991,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.0,0.9,20,13,41,0.6228683590838435,0.6530389810094871,0.03677969067308056,0.04163112350288535,0.0,0.0,-0.03017062192564357,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.0,0.95,20,13,54,0.415711128886042,0.4598554102145773,0.047545101241893616,0.052814689051951406,0.0,0.0,-0.04414428132853532,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.0,0.95,20,13,54,0.3519300642926737,0.413703157264105,0.04926112327808838,0.054810674755740287,0.0,0.0,-0.0617730929714313,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.0,0.95,20,13,54,0.39760577572600325,0.5290616592684961,0.04763845579054595,0.05039558706163024,5.551115123125783e-17,0.0,-0.13145588354249288,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.0,0.95,20,13,54,0.6343638315404087,0.5742820994558273,0.03600687405523003,0.0450126680617701,0.0,0.0,0.06008173208458134,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.0,0.95,20,13,54,0.7040139850033241,0.47164817105605716,0.03374509355138616,0.05218688189987364,0.0,0.0,0.23236581394726696,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.0,0.95,20,13,54,0.493052948596356,0.613354967952594,0.04470954254215448,0.043979311624792246,5.551115123125783e-17,0.0,-0.12030201935623802,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.0,0.95,20,13,54,0.6565176432837397,0.613354967952594,0.035248457145512155,0.043979311624792246,0.0,0.0,0.043162675331145706,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.0,1.0,20,13,103,0.4282592436746686,0.42553812967589,0.04507964667326301,0.0518344166484733,0.0,0.0,0.0027211139987786126,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.0,1.0,20,13,103,0.3292042849372723,0.33484826117622274,0.048946082699332184,0.05703793037453323,0.0,5.551115123125783e-17,-0.0056439762389504655,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.0,1.0,20,13,103,0.3575847380198185,0.5611894487425436,0.04771929984628024,0.04725512960551143,0.0,0.0,-0.20360471072272512,3
1,Arginine on CEX (pH 6),0M,0,6,0.1,0.0,1.0,20,13,103,0.5446572051258913,0.5900750951852494,0.04217723626476453,0.043802313710224805,0.0,0.0,-0.045417890059358035,3
1,Arginine on CEX (pH 6),0M,0,9,0.1,0.0,1.0,20,13,103,0.7647134746743798,0.49607548575011357,0.03150046518863857,0.049794870535178275,0.0,5.551115123125783e-17,0.2686379889242662,3
1,Arginine on CEX (pH 6),0M,0,12,0.1,0.0,1.0,20,13,103,0.6744993216600582,0.613148120861473,0.03575381322040529,0.04370605488774604,1.1102230246251565e-16,0.0,0.06135120079858525,3
1,Arginine on CEX (pH 6),0M,0,15,0.1,0.0,1.0,20,13,103,0.7579700298095936,0.613148120861473,0.030386687925140283,0.04370605488774604,0.0,0.0,0.14482190894812064,3
1,Arginine on CEX (pH 6),0M,0,1,0.1,0.01,0.8,20,13,7,-0.1146568888681101,0.08446702661058081,0.06695477936503577,0.06947880589978156,0.0,0.0,-0.1991239154786909,3
1,Arginine on CEX (pH 6),0M,0,2,0.1,0.01,0.8,20,13,7,0.2865754756572819,0.24537337863638242,0.05210034832160874,0.05874081206029646,0.0,0.0,0.0412020970208995,3
1,Arginine on CEX (pH 6),0M,0,3,0.1,0.01,0.8,20,13,7,0.3482234208058297,0.1832508924664965,0.04927047727966491,0.06194536620044713,0.0,0.0,0.16497252833933318,3
