category,aa type,model,0.025M Arginine on CM Sepharose FF pH 6,0.1M Arginine on CM Sepharose FF pH 6,0M Arginine on CM Sepharose FF pH 6,"0,025M Arginine on Capto MMC pH 6",0.1M Arginine on Capto MMC pH 6,0M Arginine on Capto MMC pH 6,0.025M Guanidine on CM Sepharose FF pH 6,0.1M Guanidine on CM Sepharose pH 6,0M Guanidine on CM Sepharose FF pH 6,0.025M Guanidine on Capto MMC pH 6,0.1M Guanidine on Capto MMC pH 6,0M Guanidine on Capto MMC pH 6,CM Sepharose FF pH 5,Capto MMC pH 5,SP Sepharose FF pH 5,CM Sepharose FF pH 6,Capto MMC pH 6,SP Sepharose FF pH 6,20% Ethylene Glycol on Capto MMC pH 6,20% Propylene Glycol on Capto MMC pH 6,No Modifier (poly-ols),0.01 Sodium Caprylate on CM Sepharose FF pH 6,0.025M Sodium Caprylate on CM Sepharose FF pH 6,0M Sodium Caprylate on CM Sepharose FF pH 6,0.01M Sodium Caprylate on Capto MMC pH 6,0.025M Sodium Caprylate on Capto MMC pH 6,0M Sodium Caprylate on Capto MMC pH 6
aa,hydrophobic,ALASurfFrac,0.001659516,0.006487671,0.018382926,0.013376969,0.014606135,0.004355218,0.009977617,0.019564519,0.017398097,0.010552031,0.024435979,0.004324865,0.005257934,0.016414794,0.006825607,0.019499849,0.00420534,0.016596771,0.00669676,0.008272682,0.005001039,0.019556583,0.010934637,0.027337851,0.009310519,0.000285266,0.010110119
aa,hydrophobic,ILESurfFrac,0.018786881,0.02496992,0.03425372,0.009198007,0.009857594,0.0169666,0.030094897,0.04158244,0.033258137,0.012644117,0.000954881,0.017143198,0.015970896,0.019342047,0.011873891,0.033831149,0.012455382,0.03854892,0.012581755,0.011933735,0.016301155,0.032627931,0.031232967,0.037354587,0.009859985,0.019488152,0.009273161
aa,hydrophobic,TRPSurfFrac,0.034164732,0.033863333,0.023657857,0.042664553,0.038979004,0.038947339,0.029623538,0.028608014,0.024535883,0.037831615,0.042921114,0.039055659,0.023101594,0.04232374,0.022724372,0.02687828,0.044745921,0.022427295,0.043873589,0.044188975,0.03923476,0.017879468,0.019422174,0.016103384,0.041548948,0.037095746,0.042617013
aa,hydrophobic,TYRSurfFrac,0.031055851,0.029678721,0.023094987,0.037053486,0.035373505,0.038764916,0.014830701,0.020288141,0.024069015,0.033951142,0.033426732,0.038997137,0.023545894,0.035368273,0.030751398,0.024487852,0.036300945,0.023770596,0.03769277,0.041226798,0.038611993,0.010256332,0.018569489,0.01800261,0.033573575,0.033699711,0.040785776
aa,hydrophobic,VALSurfFrac,0.0188726,0.006699619,0.016760047,0.014415134,0.014801327,0.004457022,0.022302684,0.011252564,0.01663729,0.002279909,0.009633089,0.004951683,0.012415128,0.003054553,0.005452781,0.01845397,0.005205656,0.016792482,0.008044137,0.010286466,0.004919836,0.014272798,0.014203297,0.006322623,0.009026112,0.009369831,0.004986313
aa,negative,ASPSurfFrac,0.009007555,0.010845477,0.003580067,0.008287587,0.005109223,0.011245044,0.001643672,0.000465458,0.003991426,0.008441306,0.00577011,0.01118663,0.008902221,0.025793688,0.016098941,0.004225858,0.018449057,0.000818167,0.014476725,0.01315386,0.011566462,0.002095232,0.003912941,0.003415308,0.010548914,0.006751479,0.014658809
aa,other,CYSSurfFrac,0.003726684,0.008810123,0.016441402,0.023836523,0.026571739,0.020158542,0.005562139,0.003192825,0.015600848,0.026405957,0.034161161,0.019844334,0.000480678,0.029779723,2.33E-05,0.017236645,0.014236369,0.013682753,0.018763056,0.019010004,0.020335792,0.012148066,0.00176448,0.019171379,0.023754214,0.014613129,0.023768038
aa,other,GLYSurfFrac,0.008694209,0.004882654,0.001731233,0.010530785,0.01067891,0.010089863,0.003141859,0.003713626,0.001944436,0.010228366,0.011521132,0.010184044,0.020759322,0.018652256,0.025737805,0.000524976,0.010118124,0.004855312,0.010491141,0.010923281,0.010452641,0.002112283,0.004596298,0.003610149,0.008560788,0.00487915,0.010732866
aa,polar uncharged,GLNSurfFrac,0.03496052,0.041824683,0.027671735,0.037271005,0.03605781,0.035258692,0.036368798,0.038596743,0.02785764,0.0328515,0.029364728,0.035318859,0.034234587,0.028209499,0.028242517,0.028391829,0.041989072,0.028839694,0.040289361,0.037260856,0.036060217,0.025550937,0.026928364,0.020780002,0.039781189,0.033079678,0.037235011
aa,polar uncharged,SERSurfFrac,0.022285634,0.029291418,0.020784634,0.019638533,0.018330933,0.022963218,0.012385725,0.017630719,0.021055144,0.017676934,0.009563381,0.023035343,0.020559459,0.025581359,0.026108471,0.020555513,0.025626558,0.019972291,0.024419616,0.023455982,0.023276232,0.012443044,0.012460069,0.019775227,0.021549908,0.019933848,0.025183537
aa,polar uncharged,THRSurfFrac,0.031853078,0.032105435,0.031990986,0.028414042,0.027402926,0.030410323,0.024514099,0.032241486,0.032557144,0.027029242,0.026217077,0.030694196,0.018480172,0.001030986,0.016784983,0.03223799,0.020263937,0.036843783,0.028113351,0.032339168,0.029873577,0.015894825,0.024969723,0.022350667,0.024889749,0.030800678,0.028958089
aa,positive,ARGSurfFrac,0.030014231,0.038000392,0.026654745,0.032217227,0.029383562,0.038835971,0.029890589,0.037357561,0.026760741,0.035213212,0.022786383,0.03864805,0.037668795,0.039260136,0.038098186,0.027299155,0.045093243,0.024950087,0.042558735,0.037695228,0.039094759,0.030205305,0.028567559,0.032991975,0.040202828,0.037713364,0.03881658
aa,positive,HISSurfFrac,0.007548105,0.008949863,0.001851079,0.021287792,0.022287111,0.025611618,0.004168407,0.011021765,0.002476319,0.026991606,0.025086004,0.025445565,0.011328619,0.007674629,0.009981114,0.001853284,0.019840639,0.00340512,0.021181267,0.022644954,0.025000771,0.006505625,0.016343187,0.008809598,0.022031259,0.023770786,0.023724187
,,INT_aliphatic_cluster,0.021718988,0.017417624,0.028763567,0.016465279,0.016409839,0.018557902,0.028945328,0.030458065,0.028127121,0.015988743,0.009853956,0.018872714,0.016121628,0.004534539,0.013049466,0.029086348,0.01993029,0.031435602,0.016951811,0.017076845,0.018300183,0.028821205,0.028005575,0.029558982,0.013627641,0.019462488,0.013492495
,,INT_arg_lys_ratio,0.033275779,0.041591717,0.027151149,0.036580069,0.033026477,0.038920027,0.03034783,0.034366393,0.027614077,0.034446262,0.027184663,0.03880599,0.029668307,0.042203013,0.02698128,0.029315248,0.045119042,0.023448939,0.044812874,0.041183008,0.039331254,0.027106584,0.024391761,0.028754671,0.043567023,0.039635397,0.041746322
,,INT_aromatic_hydrophobic,0.014843393,0.015643485,0.012971014,0.02010797,0.020637899,0.023489581,0.002773556,0.009034316,0.013468433,0.020430275,0.017748491,0.023660157,0.009766723,0.013667453,0.017162163,0.012601565,0.017669278,0.015144939,0.019266362,0.022603838,0.023114161,0.00355081,0.011169164,0.011615486,0.016377511,0.018729681,0.023309646
