model,ALASurfFrac,ARGSurfFrac,ASPSurfFrac,CYSSurfFrac,GLNSurfFrac,GLYSurfFrac,HISSurfFrac,ILESurfFrac,INT_aliphatic_cluster,INT_arg_lys_ratio,INT_aromatic_hydrophobic,INT_aromatic_sum,INT_gln_charge,INT_shape_arg,INT_trp_tyr,Isoelectric point,SERSurfFrac,Shape max,SurfMhpMin,SurfNegMhpStd,THRSurfFrac,TRPSurfFrac,TYRSurfFrac,VALSurfFrac
exp1_0.025M,0.0016595156889855698,0.030014230562922767,0.00900755520387344,0.0037266836829025376,0.03496051953105374,0.008694208858257247,0.007548105253758907,0.018786880673766857,0.021718987573496266,0.033275779315888925,0.01484339321300715,0.01466967901200886,0.031236339024768554,0.026751782875007818,0.016088968779701392,0.01657096588605545,0.022285634362705344,0.013981521609653675,0.004536871881372306,0.0062704416007594126,0.03185307756503177,0.034164732246172946,0.031055851263193303,0.01887259975262951
exp1_0.1M,0.006487671158983009,0.03800039176356776,0.01084547714052304,0.008810123369260792,0.04182468332602046,0.004882654073602131,0.008949862687103707,0.02496992021785971,0.017417624408783652,0.04159171738226184,0.0156434852299453,0.013748504102174977,0.032285168104644026,0.03561766536658574,0.006169991478762602,0.018101798823459657,0.02929141782431436,0.00734734782968883,0.012572866432261312,0.009043361799578783,0.032105434797390045,0.03386333308121389,0.02967872129499854,0.0066996192272951284
exp1_0M,0.01838292602730451,0.02665474471539682,0.0035800671452332314,0.01644140169486762,0.027671734527001963,0.001731233153332669,0.001851079083683612,0.034253720252273814,0.028763567118524878,0.027151148966859565,0.012971013519273836,0.013013474841529465,0.025914745274789854,0.024543161279075087,0.01684692158039886,0.017730404830518198,0.020784634406971488,0.006689658463605686,0.003922321955798976,0.013480928767890758,0.03199098560196238,0.023657857073762115,0.023094987176762005,0.01676004714206599
exp2_0.025M,0.013376969397375444,0.032217227205818016,0.008287587340535535,0.02383652258291319,0.03727100531622832,0.010530785149169044,0.021287792115148148,0.009198006615791048,0.016465279002226666,0.03658006897503211,0.02010796989562721,0.013562437771961942,0.030863696454723127,0.030938100195836555,0.00803810475622848,0.014441418379069234,0.01963853317429929,0.007508222448650151,0.012578833163866507,0.008902814304602349,0.02841404156685311,0.042664553117367277,0.037053485664498904,0.014415133828707726
exp2_0.1M,0.014606135381472428,0.029383562445155567,0.005109222891710843,0.026571738811739316,0.036057809565993144,0.010678909633725035,0.0222871113525782,0.009857593638210038,0.01640983909518993,0.03302647655032782,0.020637898902785383,0.013618886344088069,0.028896754406975877,0.02879772468295917,0.009310849130931878,0.015152162715380824,0.01833093307183469,0.0052224809993889326,0.012480706067958014,0.010499384680172289,0.02740292586556941,0.038979003637476854,0.035373505184999494,0.01480132667360479
exp2_0M,0.004355217978212579,0.0388359712121681,0.01124504416516509,0.020158541658273618,0.03525869240644089,0.010089862506914647,0.0256116183225293,0.016966600245447824,0.018557901621892893,0.03892002714283896,0.023489581487704532,0.01959456050608813,0.03144929659621004,0.037999481863490316,0.01099713108887655,0.012979649336833928,0.022963217704668852,0.003785081450941109,0.007467756538119965,0.011295772589955566,0.030410322911878306,0.03894733906555608,0.03876491640903175,0.0044570222019811945
exp3_0.025M,0.009977616727024272,0.029890588929716508,0.0016436724538656093,0.005562138771671069,0.036368797647797865,0.0031418587497905512,0.00416840739092211,0.03009489747754906,0.028945328173937582,0.03034783011262991,0.002773555937444698,0.0029823682340491334,0.020745144417644655,0.026874626075283146,0.007364000799422449,0.020274655258321027,0.012385724786052895,0.012077454205240179,0.0009948168608918855,0.01558787312485361,0.02451409926630178,0.029623537853167913,0.014830701444402216,0.02230268404348279
exp3_0.1M,0.019564519122841243,0.037357561472167095,0.00046545803300201424,0.0031928254316729906,0.038596742956675985,0.003713626495857707,0.011021765293664899,0.04158244044495147,0.030458065205603704,0.034366393184761014,0.009034315960327015,0.010688728586178444,0.019661472266191058,0.035210863727003994,0.007347397944282684,0.021284865939045196,0.01763071852409166,0.0029738030965930297,0.000538968034492051,0.016701581706901572,0.032241485882999875,0.028608014470375438,0.020288141317988936,0.011252563918946077
exp3_0M,0.017398096944456782,0.026760741189653332,0.003991425883461041,0.015600848396551842,0.02785764040146645,0.0019444364446382983,0.002476319147780651,0.03325813670616935,0.028127120833532346,0.02761407670799488,0.013468432938251866,0.013306838158808825,0.026404886772033807,0.024628787886643213,0.016719735473815053,0.01775183086211479,0.02105514361112604,0.00667640830357221,0.0033367975511026135,0.012944039429418734,0.03255714359309044,0.024535882803853593,0.02406901549475448,0.016637290258351926
exp4_0.025M,0.010552031179574161,0.03521321162703217,0.008441306369628528,0.026405957067173767,0.03285150022571699,0.010228365868507422,0.02699160648000677,0.012644117473578867,0.01598874282145419,0.03444626213678464,0.020430274725316753,0.013326568941932031,0.02926060878426172,0.03447037736254624,0.005827261882866207,0.0114542689772177,0.017676934188662584,0.003064036587399831,0.0052223305713087675,0.011366195441039666,0.027029241880812065,0.03783161527690112,0.03395114183188431,0.0022799094225891318
