column,corr_thresh,r2_full,alpha_full,n_comp_full,n_features_full,r2_dedup,alpha_dedup,n_comp_dedup,n_features_dedup,delta_r2,n_samples_full,n_samples_dedup
col_1,0.8,0.5959230138949364,1,6,69,0.4788866026219731,1,6,59,0.11703641127296333,20,13
col_1,0.85,0.5877569610679455,1,9,80,0.44999706301157416,5,9,72,0.13775989805637134,20,13
col_1,0.9,0.6268816619815079,1,9,96,0.5359513110595651,1,9,88,0.09093035092194279,20,13
col_1,0.95,0.5601914088451976,1,9,121,0.4771688795180358,5,9,111,0.08302252932716175,20,13
col_1,1.0,0.6086799585967482,1,12,268,0.39313129032319044,5,9,268,0.21554866827355773,20,13
col_2,0.8,0.7213562723818215,1,9,69,0.7121767910806621,1,6,59,0.00917948130115942,20,13
col_2,0.85,0.6976038546240669,1,9,80,0.7039956821010943,1,3,72,-0.006391827477027379,20,13
col_2,0.9,0.7068669877412246,1,9,96,0.7057372990305227,1,3,88,0.0011296887107018483,20,13
col_2,0.95,0.6586463529323133,5,12,121,0.7005480359226656,1,3,111,-0.04190168299035224,20,13
col_2,1.0,0.6050419061361125,5,12,268,0.6569281522436877,5,3,268,-0.051886246107575196,20,13
col_3,0.8,0.47946697934791027,1,9,70,0.31946525185522057,1,3,59,0.1600017274926897,19,13
col_3,0.85,0.47129331333266866,1,9,78,0.33116369150295666,1,3,72,0.140129621829712,19,13
col_3,0.9,0.5008568813428174,5,9,97,0.3517670818441954,1,3,88,0.14908979949862194,19,13
col_3,0.95,0.43945413228301033,5,9,121,0.28969984658375436,5,3,111,0.14975428569925597,19,13
col_3,1.0,0.41846895754819324,1,12,268,0.22659551789719667,5,3,268,0.19187343965099657,19,13
col_5,0.8,0.2769240424170313,1,15,70,0.0368428048938404,5,3,61,0.24008123752319088,21,14
col_5,0.85,0.24150546579264454,5,15,80,-0.007103854432099155,5,3,74,0.2486093202247437,21,14
col_5,0.9,0.17275575669133847,5,15,98,0.027651434530391428,5,3,90,0.14510432216094704,21,14
col_5,0.95,0.17923442484988328,1,15,122,-0.015617716698165696,5,3,111,0.19485214154804897,21,14
col_5,1.0,0.006374624903085935,5,19,268,-0.17471270369475156,5,3,268,0.1810873285978375,21,14
col_6,0.8,0.34769635362161444,1,9,70,0.22301480440501842,1,3,61,0.12468154921659602,21,14
col_6,0.85,0.34739455800731117,1,9,80,0.2775143877274132,1,3,74,0.06988017027989796,21,14
col_6,0.9,0.31278352561618694,5,9,98,0.28433251610663657,1,3,90,0.028451009509550373,21,14
col_6,0.95,0.28651330851872703,5,12,122,0.2342408119952326,1,3,111,0.052272496523494416,21,14
col_6,1.0,0.12556683237406507,5,3,268,0.04051716628182478,5,3,268,0.0850496660922403,21,14
col_7,0.8,0.3303599374208861,5,9,70,0.21989921669262047,1,3,61,0.11046072072826563,21,14
col_7,0.85,0.3465488872748832,5,9,80,0.28338559472029334,1,3,74,0.06316329255458986,21,14
col_7,0.9,0.32639062971824173,5,9,98,0.2793513479827734,1,3,90,0.04703928173546834,21,14
col_7,0.95,0.28281374365212597,5,12,122,0.2155173332129453,1,3,111,0.06729641043918067,21,14
col_7,1.0,0.11707905332663848,5,12,268,0.02217045269292528,5,3,268,0.0949086006337132,21,14
col_9,0.8,0.6267927480615944,1,9,69,0.517669285383182,1,6,59,0.10912346267841233,20,13
col_9,0.85,0.6226200662766981,1,9,80,0.48566984149324344,1,3,72,0.13695022478345464,20,13
col_9,0.9,0.6601464700952142,1,9,96,0.5629866741869876,5,9,88,0.09715979590822665,20,13
col_9,0.95,0.5977199502918795,1,9,121,0.5066660919470768,5,9,111,0.09105385834480273,20,13
