column,n_samples,n_features_original,n_features_final,var_thresh,corr_thresh,best_n_components,best_alpha,rmse_loo,r2_loo,r2_std
col_1,20,268,69,0.0,0.8,6,0.1,0.049629031929990575,0.5965369899982762,0.0
col_1,20,268,80,0.0,0.85,9,1.0,0.0501661309243643,0.5877569610679455,0.0
col_1,20,268,96,0.0,0.9,9,0.1,0.0477123557663791,0.6270987521556938,0.0
col_1,20,268,121,0.0,0.95,9,0.1,0.05180562744725983,0.5603713444114369,0.0
col_1,20,268,268,0.0,1.0,12,0.1,0.04880997523937083,0.6097442675182452,0.0
col_1,20,268,35,0.01,0.8,12,10.0,0.06646826845829115,0.27629621002605165,0.0
col_1,20,268,43,0.01,0.85,2,10.0,0.06529318315773772,0.30165858276426005,0.0
col_1,20,268,54,0.01,0.9,1,10.0,0.062134703160542065,0.36758731531206434,0.0
col_1,20,268,76,0.01,0.95,1,10.0,0.061275018230876756,0.3849661559942211,5.551115123125783e-17
col_1,20,268,210,0.01,1.0,1,10.0,0.0613421804085959,0.3836171674055896,5.551115123125783e-17
col_1,20,268,31,0.05,0.8,1,0.1,0.06503069343046869,0.30726219942706856,0.0
col_1,20,268,39,0.05,0.85,1,0.1,0.06347210638667648,0.3400698981675617,5.551115123125783e-17
col_1,20,268,50,0.05,0.9,1,10.0,0.06124642290213607,0.38554006006678443,0.0
col_1,20,268,70,0.05,0.95,1,10.0,0.061566906433344774,0.37909267901679355,5.551115123125783e-17
col_1,20,268,195,0.05,1.0,1,10.0,0.06191495282680618,0.3720526829852763,5.551115123125783e-17
col_2,20,268,69,0.0,0.8,9,0.1,0.052985481363690155,0.7222810134195314,0.0
col_2,20,268,80,0.0,0.85,9,0.1,0.05523532054760605,0.6981956043133059,0.0
col_2,20,268,96,0.0,0.9,9,0.1,0.054412088931470017,0.7071247975184289,0.0
col_2,20,268,121,0.0,0.95,12,5.0,0.05874303378450286,0.6586463529323133,0.0
col_2,20,268,268,0.0,1.0,12,10.0,0.06317851127783561,0.6051514207850824,0.0
col_2,20,268,35,0.01,0.8,2,0.1,0.08290549408363003,0.3200790435007602,0.0
col_2,20,268,43,0.01,0.85,2,0.1,0.07861900709249416,0.388569761973524,0.0
col_2,20,268,54,0.01,0.9,2,5.0,0.0737007317301963,0.4626770345665878,0.0
col_2,20,268,76,0.01,0.95,2,10.0,0.07381747202946967,0.460973471478728,5.551115123125783e-17
col_2,20,268,210,0.01,1.0,2,10.0,0.07242122960389319,0.48117177788704957,5.551115123125783e-17
col_2,20,268,31,0.05,0.8,2,0.1,0.07999681153219289,0.3669512458881008,0.0
col_2,20,268,39,0.05,0.85,2,0.1,0.07695458112615797,0.41418463188224064,0.0
col_2,20,268,50,0.05,0.9,2,10.0,0.07303569313869045,0.47233035193896966,0.0
col_2,20,268,70,0.05,0.95,2,10.0,0.07407269417049989,0.4572396852629925,0.0
col_2,20,268,195,0.05,1.0,2,10.0,0.071967311077401,0.48765517225132027,0.0
col_3,19,268,70,0.0,0.8,9,1.0,0.059234850032084424,0.47946697934791027,0.0
col_3,19,268,78,0.0,0.85,9,1.0,0.05969810595083508,0.47129331333266866,0.0
col_3,19,268,97,0.0,0.9,9,5.0,0.05800503524185014,0.5008568813428174,0.0
col_3,19,268,121,0.0,0.95,9,10.0,0.06139013143094179,0.44089828487051086,5.551115123125783e-17
col_3,19,268,268,0.0,1.0,12,0.1,0.0626081880840925,0.4184916320056341,5.551115123125783e-17
col_3,19,268,35,0.01,0.8,2,10.0,0.07780203584209512,0.1020014802317537,0.0
col_3,19,268,41,0.01,0.85,2,10.0,0.0754398158736307,0.15570359962354074,0.0
col_3,19,268,55,0.01,0.9,2,10.0,0.07252458331181538,0.21969537206236767,0.0
col_3,19,268,76,0.01,0.95,2,10.0,0.07341199538317951,0.2004829025739585,0.0
col_3,19,268,210,0.01,1.0,2,10.0,0.07246455145464047,0.22098662384912993,0.0
col_3,19,268,31,0.05,0.8,2,10.0,0.07639038374114367,0.1342926962887211,0.0
col_3,19,268,37,0.05,0.85,2,10.0,0.07462069744033903,0.17393864402883796,0.0
col_3,19,268,51,0.05,0.9,2,10.0,0.07218420538652263,0.22700255521927748,0.0
col_3,19,268,70,0.05,0.95,2,10.0,0.0733385250804263,0.2020824060117501,0.0
col_3,19,268,195,0.05,1.0,2,10.0,0.0719493484157464,0.23202438800870384,0.0
col_5,21,268,70,0.0,0.8,15,1.0,0.28754965050896275,0.2769240424170313,0.0
col_5,21,268,80,0.0,0.85,15,5.0,0.29450800999136934,0.24150546579264454,0.0
col_5,21,268,98,0.0,0.9,15,5.0,0.3075656003466279,0.17275575669133847,0.0
col_5,21,268,122,0.0,0.95,15,0.1,0.30631658089604286,0.1794609679005672,0.0
col_5,21,268,268,0.0,1.0,20,10.0,0.3367852737314485,0.008107926279646627,0.0
col_5,21,268,36,0.01,0.8,1,10.0,0.3476594348411452,-0.0569787908073216,0.0
col_5,21,268,42,0.01,0.85,1,10.0,0.3498428441875505,-0.0702967913798116,0.0
col_5,21,268,56,0.01,0.9,1,10.0,0.3459647693878113,-0.04669942197911103,0.0
col_5,21,268,77,0.01,0.95,1,10.0,0.344285060917514,-0.036560344214649376,0.0
