column,dataset,best_r2,best_alpha,best_n_components,best_corr_thresh,n_features,cli_command
col_29,full,0.7957009231322211,1,19,0.9,98,--alpha 1 --n_components 19 --corr_thresh 0.9
col_2,full,0.7213562723818215,1,9,0.8,69,--alpha 1 --n_components 9 --corr_thresh 0.8
col_31,full,0.7172911924433283,1,19,0.9,98,--alpha 1 --n_components 19 --corr_thresh 0.9
col_10,full,0.6647376901847777,1,15,0.9,96,--alpha 1 --n_components 15 --corr_thresh 0.9
col_9,full,0.6601464700952142,1,9,0.9,96,--alpha 1 --n_components 9 --corr_thresh 0.9
col_30,full,0.6390546879428233,1,19,0.9,98,--alpha 1 --n_components 19 --corr_thresh 0.9
col_1,full,0.6268816619815079,1,9,0.9,96,--alpha 1 --n_components 9 --corr_thresh 0.9
col_35,full,0.6179730639183658,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_22,full,0.6129495457905252,1,9,0.9,96,--alpha 1 --n_components 9 --corr_thresh 0.9
col_23,full,0.6042682904460119,5,9,0.9,96,--alpha 5 --n_components 9 --corr_thresh 0.9
col_11,full,0.5588390559436106,1,6,0.8,69,--alpha 1 --n_components 6 --corr_thresh 0.8
col_34,full,0.5552402079936624,1,12,0.8,70,--alpha 1 --n_components 12 --corr_thresh 0.8
col_27,full,0.5410810943318501,1,15,0.85,81,--alpha 1 --n_components 15 --corr_thresh 0.85
col_18,full,0.5353084321736339,1,9,0.8,65,--alpha 1 --n_components 9 --corr_thresh 0.8
col_3,full,0.5008568813428174,5,9,0.9,97,--alpha 5 --n_components 9 --corr_thresh 0.9
col_19,full,0.4884529385571217,1,12,0.8,65,--alpha 1 --n_components 12 --corr_thresh 0.8
col_14,full,0.4655752146354233,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_15,full,0.4457312460482823,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_26,full,0.4345756881858363,1,15,0.8,72,--alpha 1 --n_components 15 --corr_thresh 0.8
col_6,full,0.34769635362161444,1,9,0.8,70,--alpha 1 --n_components 9 --corr_thresh 0.8
col_7,full,0.3465488872748832,5,9,0.85,80,--alpha 5 --n_components 9 --corr_thresh 0.85
col_33,full,0.33796754485472236,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_21,full,0.3077212563608157,1,12,0.8,69,--alpha 1 --n_components 12 --corr_thresh 0.8
col_25,full,0.28457373434013533,1,15,0.85,81,--alpha 1 --n_components 15 --corr_thresh 0.85
col_13,full,0.2807472724432114,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_5,full,0.2769240424170313,1,15,0.8,70,--alpha 1 --n_components 15 --corr_thresh 0.8
col_17,full,-0.1987184303645011,5,3,0.8,65,--alpha 5 --n_components 3 --corr_thresh 0.8
