,Molecular weight,Isoelectric point,Dipole,Formal charge,Average charge,Area,ALASurfFrac,ARGSurfFrac,ASNSurfFrac,ASPSurfFrac,CYSSurfFrac,GLNSurfFrac,GLUSurfFrac,GLYSurfFrac,HISSurfFrac,ILESurfFrac,LEUSurfFrac,LYSSurfFrac,METSurfFrac,PHESurfFrac,PROSurfFrac,SERSurfFrac,THRSurfFrac,TRPSurfFrac,TYRSurfFrac,VALSurfFrac,NSurfPoints,Shape max,Shape min,SurfEpMaxFormal,SurfEpMinFormal,SurfEpMeanFormal,SurfEpTrimeanFormal,SurfEpMedianFormal,SurfEpSumFormal,SurfEpStdFormal,NSurfPosEpFormal,SurfEpPosMeanFormal,SurfEpPosTrimeanFormal,SurfEpPosMedianFormal,SurfEpPosSumFormal,SurfEpPosStdFormal,NSurfNegEpFormal,SurfEpNegMeanFormal,SurfEpNegTrimeanFormal,SurfEpNegMedianFormal,SurfEpNegSumFormal,SurfEpNegStdFormal,SurfMhpMax,SurfMhpMin,SurfMhpMean,SurfMhpTrimean,SurfMhpMedian,SurfMhpSum,SurfMhpStd,NSurfPosMhp,SurfPosMhpMean,SurfPosMhpTrimean,SurfPosMhpMedian,SurfPosMhpSum,SurfPosMhpStd,NSurfNegMhp,SurfNegMhpMean,SurfNegMhpTrimean,SurfNegMhpMedian,SurfNegMhpSum,SurfNegMhpStd,SurfEpMaxAverage,SurfEpMinAverage,SurfEpMeanAverage,SurfEpTrimeanAverage,SurfEpMedianAverage,SurfEpSumAverage,SurfEpStdAverage,NSurfPosEpAverage,SurfEpPosMeanAverage,SurfEpPosTrimeanAverage,SurfEpPosMedianAverage,SurfEpPosSumAverage,SurfEpPosStdAverage,NSurfNegEpAverage,SurfEpNegMeanAverage,SurfEpNegTrimeanAverage,SurfEpNegMedianAverage,SurfEpNegSumAverage,SurfEpNegStdAverage,ShellEpMaxFormal,ShellEpminFormal,ShellEpMeanFormal,ShellEpTrimeanFormal,ShellEpMedianFormal,ShellEpSumFormal,ShellEpStdFormal,NShellPosEpFormal,ShellEpPosMeanFormal,ShellEpPosTrimeanFormal,ShellEpPosMedianFormal,ShellEpPosSumFormal,ShellEpPosStdFormal,NShellNegEpFormal,ShellEpNegMeanFormal,ShellEpNegTrimeanFormal,ShellEpNegMedianFormal,ShellEpNegSumFormal,ShellEpNegStdFormal
conalbumin,75434.53,6.47,819.096,-3.0,3.973500905688012,28205.858,0.019,0.093,0.077,0.107,0.007,0.058,0.12,0.043,0.014,0.02,0.035,0.164,0.011,0.011,0.053,0.064,0.053,0.006,0.012,0.03,29586.0,0.617,0.106,1.73,-3.11,-0.388,-0.382,-0.39,-11479.59,0.631,7805.0,0.389,0.322,0.29,3036.97,0.328,21636.0,-0.671,-0.612,-0.59,-14516.56,0.454,0.398,-0.551,-0.109,-0.109,-0.107,-3234.934,0.086,2769.0,0.059,0.048,0.046,162.071,0.05,26817.0,-0.127,-0.118,-0.115,-3397.005,0.068,2.79,-2.1,0.396,0.418,0.43,11722.48,0.613,22318.0,0.658,0.608,0.6,14695.05,0.43,7098.0,-0.419,-0.375,-0.35,-2972.57,0.321,0.215,-0.349,-0.066,-0.06,-0.059,-7.898,0.113,36.0,0.067,0.058,0.06,2.394,0.044,84.0,-0.123,-0.119,-0.111,-10.292,0.081
pyruvate kinase,454495.31,7.556,318.821,8.0,66.40670890534665,139360.262,0.047,0.098,0.036,0.073,0.002,0.032,0.135,0.044,0.044,0.028,0.041,0.191,0.013,0.027,0.054,0.037,0.039,0.01,0.018,0.031,142830.0,0.553,0.021,3.64,-2.11,0.569,0.562,0.55,81291.05,0.708,112029.0,0.832,0.785,0.77,93164.76,0.54,30161.0,-0.394,-0.338,-0.32,-11873.71,0.322,0.428,-0.521,-0.1,-0.102,-0.1,-14308.229,0.088,15705.0,0.063,0.052,0.049,995.623,0.055,127125.0,-0.12,-0.112,-0.11,-15303.851,0.067,8.19,0.98,3.923,3.865,3.86,560322.66,1.06,142830.0,3.923,3.865,3.86,560322.66,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.293,-0.232,-0.017,-0.019,-0.022,-2.037,0.114,53.0,0.088,0.083,0.082,4.662,0.064,67.0,-0.1,-0.092,-0.086,-6.699,0.068
bee phospholipase A2,15249.25,7.742,143.166,2.0,5.618754640158212,7685.095,0.023,0.066,0.044,0.067,0.024,0.004,0.048,0.055,0.061,0.053,0.055,0.156,0.02,0.023,0.065,0.065,0.083,0.011,0.047,0.031,8190.0,0.573,0.224,1.81,-1.46,0.303,0.298,0.28,2485.65,0.444,6359.0,0.471,0.428,0.42,2998.16,0.331,1760.0,-0.291,-0.242,-0.23,-512.51,0.25,0.427,-0.42,-0.064,-0.071,-0.072,-523.703,0.094,1740.0,0.074,0.065,0.063,128.086,0.056,6450.0,-0.101,-0.093,-0.09,-651.789,0.062,2.39,-0.86,0.99,0.98,0.96,8105.05,0.447,8049.0,1.012,0.99,0.97,8143.43,0.417,139.0,-0.276,-0.246,-0.24,-38.38,0.21,0.222,-0.284,0.026,0.038,0.041,3.178,0.087,79.0,0.075,0.072,0.066,5.932,0.05,41.0,-0.067,-0.057,-0.048,-2.754,0.062
ribonuclease B,27362.57,8.288,634.953,8.0,12.170351017704393,12697.142,0.069,0.049,0.112,0.038,0.006,0.059,0.05,0.03,0.022,0.002,0.012,0.187,0.008,0.005,0.048,0.14,0.072,0.0,0.048,0.043,13484.0,0.553,0.151,3.36,-1.43,1.068,1.042,1.04,14396.44,0.731,12936.0,1.128,1.085,1.09,14589.3,0.68,528.0,-0.365,-0.295,-0.23,-192.86,0.336,0.233,-0.449,-0.105,-0.101,-0.099,-1411.928,0.069,679.0,0.038,0.032,0.031,25.667,0.032,12805.0,-0.112,-0.105,-0.102,-1437.595,0.062,4.05,-0.68,1.721,1.67,1.66,23201.19,0.715,13382.0,1.735,1.68,1.67,23222.32,0.697,100.0,-0.211,-0.192,-0.185,-21.13,0.149,0.51,-0.081,0.176,0.184,0.179,21.177,0.106,113.0,0.19,0.192,0.19,21.526,0.093,7.0,-0.05,-0.048,-0.046,-0.349,0.027
ribonuclease A,13690.29,8.288,459.673,4.0,6.085175508852188,6570.532,0.066,0.054,0.115,0.038,0.005,0.062,0.053,0.03,0.025,0.003,0.011,0.163,0.008,0.004,0.042,0.15,0.072,0.0,0.058,0.039,6965.0,0.604,0.216,2.68,-1.45,0.756,0.748,0.73,5268.87,0.673,6154.0,0.901,0.868,0.88,5541.77,0.566,787.0,-0.347,-0.26,-0.22,-272.9,0.329,0.257,-0.509,-0.103,-0.099,-0.097,-719.636,0.069,335.0,0.038,0.032,0.03,12.608,0.03,6630.0,-0.11,-0.103,-0.1,-732.244,0.062,3.15,-0.91,1.182,1.165,1.16,8234.94,0.667,6764.0,1.228,1.192,1.19,8305.7,0.62,193.0,-0.367,-0.34,-0.33,-70.76,0.232,0.371,-0.065,0.129,0.125,0.125,15.457,0.102,106.0,0.149,0.142,0.14,15.845,0.09,14.0,-0.028,-0.024,-0.021,-0.388,0.022
alpha chymotrypsin,42561.98,5.006,773.507,-14.0,-8.847599914550472,15659.577,0.03,0.036,0.081,0.122,0.003,0.031,0.1,0.032,0.016,0.023,0.027,0.212,0.015,0.022,0.014,0.049,0.045,0.033,0.073,0.035,16432.0,0.585,0.206,0.39,-5.3,-2.047,-1.97,-1.95,-33630.86,0.907,50.0,0.112,0.092,0.095,5.6,0.09,16382.0,-2.053,-1.97,-1.95,-33636.46,0.9,0.294,-0.514,-0.099,-0.101,-0.1,-1627.634,0.095,2297.0,0.058,0.05,0.048,134.341,0.047,14135.0,-0.125,-0.116,-0.114,-1761.975,0.074,0.85,-4.36,-1.332,-1.25,-1.2,-21895.18,0.798,496.0,0.227,0.199,0.19,112.38,0.173,15926.0,-1.382,-1.275,-1.22,-22007.56,0.759,0.03,-0.608,-0.284,-0.279,-0.277,-34.036,0.141,3.0,0.023,0.025,0.028,0.07,0.008,117.0,-0.292,-0.286,-0.284,-34.106,0.134
alpha chymotrypsinogen A,51314.22,8.131,874.659,8.0,10.209413751374807,20013.222,0.07,0.039,0.087,0.039,0.014,0.054,0.02,0.046,0.009,0.024,0.043,0.167,0.0,0.029,0.021,0.136,0.122,0.019,0.022,0.038,20879.0,0.615,0.029,2.76,-1.99,0.804,0.848,0.87,16782.84,0.672,18315.0,0.976,0.97,0.97,17867.15,0.506,2516.0,-0.431,-0.368,-0.34,-1084.31,0.352,0.392,-0.423,-0.08,-0.083,-0.082,-1661.093,0.085,3067.0,0.067,0.055,0.052,204.099,0.055,17812.0,-0.105,-0.097,-0.094,-1865.192,0.061,3.01,-1.66,1.091,1.13,1.16,22775.46,0.64,19673.0,1.18,1.195,1.21,23205.09,0.542,1178.0,-0.365,-0.315,-0.3,-429.63,0.294,0.299,-0.166,0.076,0.072,0.071,9.161,0.095,91.0,0.116,0.109,0.099,10.601,0.069,29.0,-0.05,-0.043,-0.038,-1.44,0.037
bovine cytochrome c,11572.35,10.005,164.5,9.0,10.633615686455364,6071.656,0.033,0.012,0.049,0.029,0.01,0.055,0.141,0.084,0.022,0.038,0.01,0.336,0.018,0.024,0.04,0.015,0.041,0.003,0.015,0.026,6435.0,0.72,0.042,3.26,-0.0,1.779,1.838,1.86,11450.94,0.493,6434.0,1.78,1.838,1.86,11450.94,0.493,0.0,0.0,0.0,0.0,0.0,0.0,0.364,-0.555,-0.106,-0.11,-0.107,-679.004,0.099,723.0,0.087,0.073,0.068,63.12,0.071,5712.0,-0.13,-0.12,-0.118,-742.124,0.072,3.71,0.44,2.134,2.182,2.2,13733.06,0.517,6435.0,2.134,2.182,2.2,13733.06,0.517,0.0,0.0,0.0,0.0,0.0,0.0,0.527,0.009,0.271,0.281,0.284,32.479,0.09,120.0,0.271,0.281,0.284,32.479,0.09,0.0,0.0,0.0,0.0,0.0,0.0
horse cytochrome c,11701.55,9.982,252.41,9.0,10.668528231819463,6202.269,0.034,0.012,0.046,0.028,0.01,0.059,0.145,0.077,0.02,0.037,0.01,0.34,0.012,0.022,0.038,0.0,0.069,0.002,0.015,0.024,6568.0,0.692,0.027,3.54,-0.06,1.805,1.882,1.94,11855.41,0.605,6566.0,1.806,1.882,1.94,11855.49,0.604,2.0,-0.04,-0.04,-0.04,-0.08,0.02,0.417,-0.443,-0.101,-0.105,-0.102,-664.389,0.09,669.0,0.083,0.069,0.063,55.701,0.072,5899.0,-0.122,-0.114,-0.111,-720.09,0.065,3.78,0.21,2.165,2.235,2.29,14216.64,0.624,6568.0,2.165,2.235,2.29,14216.64,0.624,0.0,0.0,0.0,0.0,0.0,0.0,0.491,-0.07,0.268,0.28,0.283,32.201,0.118,119.0,0.271,0.281,0.283,32.271,0.114,1.0,-0.07,,-0.07,-0.07,0.0
lysozyme,14313.14,9.202,98.443,8.0,8.547570093154103,6374.993,0.036,0.224,0.144,0.072,0.011,0.034,0.017,0.084,0.008,0.014,0.036,0.076,0.0,0.016,0.029,0.056,0.061,0.033,0.018,0.032,6845.0,0.624,0.301,2.83,0.04,1.46,1.453,1.46,9996.39,0.414,6845.0,1.46,1.453,1.46,9996.39,0.414,0.0,0.0,0.0,0.0,0.0,0.0,0.286,-0.493,-0.086,-0.088,-0.086,-590.178,0.08,845.0,0.059,0.049,0.047,49.5,0.049,6000.0,-0.107,-0.099,-0.096,-639.678,0.06,2.96,0.15,1.568,1.555,1.56,10733.22,0.422,6845.0,1.568,1.555,1.56,10733.22,0.422,0.0,0.0,0.0,0.0,0.0,0.0,0.463,0.008,0.195,0.192,0.193,23.356,0.081,120.0,0.195,0.192,0.193,23.356,0.081,0.0,0.0,0.0,0.0,0.0,0.0
