,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,SP Sepharose HP,,,,,,,,,,,,
,,8,7,6,5,4,,,,,,,,,,,,
Column6,protein name,8,7,6,5,4,,,,,,,,,,,,
1V9E,carbonic anhydrase ,,,3.63,7.94,,adenosine deaminase,,29.60,,,,,,,,,
1OVT,conalbumin,,1.61,3.34,6.3,,conalbumin,,18.04,,,,,,,,,
1A49,pyruvate kinase,,,2.45,7.56,,alkaline phosphatase,,17.33,,,,,,,,,
1S81,bovine trypsin,1.27,2.2,2.45,3.89,7.1,human serum albumin,,32.44,,,,,,,,,
1POC,bee phospholipase A2,1.56,3.34,5.79,8.11,11.92,carboxylesterase,,34.67,,,,,,,,,
1LVY,elastase,2.37,2.58,2.79,3.8,5.87,trypsin inhibitor,,36.62,,,,,,,,,
1TGB,trypsinogen,3.00,3.46,3.46,4.35,7.31,glycosylasparaginase,,25.69,,,,,,,,,
1RBB,ribonuclease B,3.08,3.97,4.73,8.07,11.54,beta-lactoglobulin B,,34.76,,,,,,,,,
1RBX,ribonuclease A,3.8,5.11,5.79,9.34,13.23,beta-lactoglobulin A,,37.16,,,,,,,,,
5CHA,alpha chymotrypsin,5.2,5.96,6,6.97,9.08,catalase,,28.36,,,,,,,,,
2CGA,alpha chymotrypsinogen A,5.41,6.13,5.96,6.8,8.7,endoglucanase 1,,36.8,,,,,,,,,
2B4Z,bovine cytochrome c,7.99,8.58,8.37,10.94,17.62,beta-galactosidease,,54.67,,,,,,,,,
1HRC,horse cytochrome c,7.99,8.62,8.41,11.07,17.7,alpha-lactalbumin,,25.51,,,,,,,,,
1AKI,lysozyme,8.11,9.3,9.55,10.86,14.15,urease,,43.29,,,,,,,,,
1VYO,avidin,9.8,10.77,12.46,14.96,19.56,glucoamylase,,46.13,,,,,,,,,
1PIT,aprotinin,10.56,10.69,10.77,11.28,14.41,apoferritin,,48.8,,,,,,,,,
1BKA,lactoferrin,23.96,24.85,24.97,25.35,26.87,insulin,,26.22,,,,,,,,,
,,,,,,,lipase,,35.64,,,,,,,,,
,,,,,,,ovalbumin,,30.58,,,,,,,,,
,,,,,,,peanut lectin,,18.22,,,,,,,,,
,,,,,,,pepsin,,57.87,,,,,,,,,
,,,,,,,calmodulin,,49.24,,,,,,,,,
,,,,,,,serum albumin,,33.07,,,,,,,,,
,,,,,,,lipoxygenase,,31.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
