model,feature_1,importance_1,feature_2,importance_2,feature_3,importance_3,feature_4,importance_4,feature_5,importance_5,feature_6,importance_6,feature_7,importance_7,feature_8,importance_8,feature_9,importance_9,feature_10,importance_10
exp1_0.025M,GLNSurfFrac,0.03496051953105374,TRPSurfFrac,0.034164732246172946,INT_arg_lys_ratio,0.033275779315888925,THRSurfFrac,0.03185307756503177,INT_gln_charge,0.031236339024768554,TYRSurfFrac,0.031055851263193303,ARGSurfFrac,0.030014230562922767,INT_shape_arg,0.026751782875007818,SERSurfFrac,0.022285634362705344,INT_aliphatic_cluster,0.021718987573496266
exp1_0.1M,GLNSurfFrac,0.04182468332602046,INT_arg_lys_ratio,0.04159171738226184,ARGSurfFrac,0.03800039176356776,INT_shape_arg,0.03561766536658574,TRPSurfFrac,0.03386333308121389,INT_gln_charge,0.032285168104644026,THRSurfFrac,0.032105434797390045,TYRSurfFrac,0.02967872129499854,SERSurfFrac,0.02929141782431436,ILESurfFrac,0.02496992021785971
exp1_0M,ILESurfFrac,0.034253720252273814,THRSurfFrac,0.03199098560196238,INT_aliphatic_cluster,0.028763567118524878,GLNSurfFrac,0.027671734527001963,INT_arg_lys_ratio,0.027151148966859565,ARGSurfFrac,0.02665474471539682,INT_gln_charge,0.025914745274789854,INT_shape_arg,0.024543161279075087,TRPSurfFrac,0.023657857073762115,TYRSurfFrac,0.023094987176762005
exp2_0.025M,TRPSurfFrac,0.042664553117367277,GLNSurfFrac,0.03727100531622832,TYRSurfFrac,0.037053485664498904,INT_arg_lys_ratio,0.03658006897503211,ARGSurfFrac,0.032217227205818016,INT_shape_arg,0.030938100195836555,INT_gln_charge,0.030863696454723127,THRSurfFrac,0.02841404156685311,CYSSurfFrac,0.02383652258291319,HISSurfFrac,0.021287792115148148
exp2_0.1M,TRPSurfFrac,0.038979003637476854,GLNSurfFrac,0.036057809565993144,TYRSurfFrac,0.035373505184999494,INT_arg_lys_ratio,0.03302647655032782,ARGSurfFrac,0.029383562445155567,INT_gln_charge,0.028896754406975877,INT_shape_arg,0.02879772468295917,THRSurfFrac,0.02740292586556941,CYSSurfFrac,0.026571738811739316,HISSurfFrac,0.0222871113525782
exp2_0M,TRPSurfFrac,0.03894733906555608,INT_arg_lys_ratio,0.03892002714283896,ARGSurfFrac,0.0388359712121681,TYRSurfFrac,0.03876491640903175,INT_shape_arg,0.037999481863490316,GLNSurfFrac,0.03525869240644089,INT_gln_charge,0.03144929659621004,THRSurfFrac,0.030410322911878306,HISSurfFrac,0.0256116183225293,INT_aromatic_hydrophobic,0.023489581487704532
exp3_0.025M,GLNSurfFrac,0.036368797647797865,INT_arg_lys_ratio,0.03034783011262991,ILESurfFrac,0.03009489747754906,ARGSurfFrac,0.029890588929716508,TRPSurfFrac,0.029623537853167913,INT_aliphatic_cluster,0.028945328173937582,INT_shape_arg,0.026874626075283146,THRSurfFrac,0.02451409926630178,VALSurfFrac,0.02230268404348279,INT_gln_charge,0.020745144417644655
exp3_0.1M,ILESurfFrac,0.04158244044495147,GLNSurfFrac,0.038596742956675985,ARGSurfFrac,0.037357561472167095,INT_shape_arg,0.035210863727003994,INT_arg_lys_ratio,0.034366393184761014,THRSurfFrac,0.032241485882999875,INT_aliphatic_cluster,0.030458065205603704,TRPSurfFrac,0.028608014470375438,Isoelectric point,0.021284865939045196,TYRSurfFrac,0.020288141317988936
exp3_0M,ILESurfFrac,0.03325813670616935,THRSurfFrac,0.03255714359309044,INT_aliphatic_cluster,0.028127120833532346,GLNSurfFrac,0.02785764040146645,INT_arg_lys_ratio,0.02761407670799488,ARGSurfFrac,0.026760741189653332,INT_gln_charge,0.026404886772033807,INT_shape_arg,0.024628787886643213,TRPSurfFrac,0.024535882803853593,TYRSurfFrac,0.02406901549475448
exp4_0.025M,TRPSurfFrac,0.03783161527690112,ARGSurfFrac,0.03521321162703217,INT_shape_arg,0.03447037736254624,INT_arg_lys_ratio,0.03444626213678464,TYRSurfFrac,0.03395114183188431,GLNSurfFrac,0.03285150022571699,INT_gln_charge,0.02926060878426172,THRSurfFrac,0.027029241880812065,HISSurfFrac,0.02699160648000677,CYSSurfFrac,0.026405957067173767
exp4_0.1M,TRPSurfFrac,0.04292111389301753,CYSSurfFrac,0.03416116082183007,TYRSurfFrac,0.03342673159491298,GLNSurfFrac,0.02936472766873982,INT_arg_lys_ratio,0.027184663037153115,THRSurfFrac,0.02621707688047413,INT_gln_charge,0.025210622161931283,HISSurfFrac,0.02508600397349277,ALASurfFrac,0.024435979162987308,ARGSurfFrac,0.022786382719126908
exp4_0M,TRPSurfFrac,0.03905565930613695,TYRSurfFrac,0.0389971372282639,INT_arg_lys_ratio,0.0388059902750599,ARGSurfFrac,0.038648050430002974,INT_shape_arg,0.0377886774457962,GLNSurfFrac,0.03531885938483219,INT_gln_charge,0.03158599693507141,THRSurfFrac,0.030694195743979132,HISSurfFrac,0.02544556516011592,INT_aromatic_hydrophobic,0.023660156637428566
exp5_CM_Seph,ARGSurfFrac,0.03766879487432004,INT_shape_arg,0.03446368215587077,GLNSurfFrac,0.03423458730012537,INT_arg_lys_ratio,0.029668307014408774,INT_trp_tyr,0.02649337959282405,TYRSurfFrac,0.023545894037254243,TRPSurfFrac,0.023101594122973978,GLYSurfFrac,0.02075932235955422,SERSurfFrac,0.020559459061686432,INT_gln_charge,0.01963742032164222
exp5_Capto_MMC,TRPSurfFrac,0.04232373985985761,INT_arg_lys_ratio,0.04220301309604707,ARGSurfFrac,0.03926013599178605,TYRSurfFrac,0.03536827310789191,INT_shape_arg,0.03486999277775258,CYSSurfFrac,0.02977972305718783,GLNSurfFrac,0.028209498701580616,ASPSurfFrac,0.02579368835633221,SERSurfFrac,0.02558135936237713,SurfMhpMin,0.024907352978106957
exp5_SP_Seph,ARGSurfFrac,0.03809818553482654,INT_shape_arg,0.03475510651755218,INT_trp_tyr,0.032362186435838644,TYRSurfFrac,0.030751398458005178,GLNSurfFrac,0.028242516864281197,INT_arg_lys_ratio,0.026981279828421252,SERSurfFrac,0.026108470837921595,GLYSurfFrac,0.025737804893162918,TRPSurfFrac,0.02272437206514733,INT_aromatic_sum,0.020782080876517672
exp6_CM_Seph,ILESurfFrac,0.03383114899666498,THRSurfFrac,0.03223798979372112,INT_arg_lys_ratio,0.029315248387454983,INT_aliphatic_cluster,0.029086347701240207,GLNSurfFrac,0.028391829075529153,ARGSurfFrac,0.027299154578275604,TRPSurfFrac,0.02687828028575288,INT_shape_arg,0.02495694246640044,INT_gln_charge,0.02483748191402984,TYRSurfFrac,0.02448785177218411
exp6_Capto_MMC,INT_arg_lys_ratio,0.0451190421936244,ARGSurfFrac,0.04509324316807918,TRPSurfFrac,0.044745920620703455,GLNSurfFrac,0.0419890723339136,INT_shape_arg,0.04065849141388273,TYRSurfFrac,0.036300945365132196,INT_gln_charge,0.033060045289781,SERSurfFrac,0.025626558364617476,Shape max,0.021189543429456843,THRSurfFrac,0.020263936896158193
exp6_SP_Seph,ILESurfFrac,0.0385489204988147,THRSurfFrac,0.036843782889921774,INT_aliphatic_cluster,0.0314356019973459,GLNSurfFrac,0.028839694327858868,INT_gln_charge,0.026491219656741408,ARGSurfFrac,0.024950086911814967,TYRSurfFrac,0.02377059606213294,INT_arg_lys_ratio,0.023448939454766053,INT_shape_arg,0.02305906656575545,TRPSurfFrac,0.022427294907022114
exp7_20pct_ethylene_glycol,INT_arg_lys_ratio,0.044812873556664475,TRPSurfFrac,0.043873588630800014,ARGSurfFrac,0.0425587350832651,INT_shape_arg,0.04062594427396038,GLNSurfFrac,0.040289361369287395,TYRSurfFrac,0.0376927697949635,INT_gln_charge,0.0350205741688614,THRSurfFrac,0.028113351325520924,SERSurfFrac,0.024419615869664003,HISSurfFrac,0.021181267177779402
exp7_20pct_propylene_glycol,TRPSurfFrac,0.0441889747264733,TYRSurfFrac,0.041226798461872834,INT_arg_lys_ratio,0.04118300763085208,ARGSurfFrac,0.03769522845715665,GLNSurfFrac,0.03726085618121944,INT_shape_arg,0.036221867415163506,INT_gln_charge,0.03430649972079822,THRSurfFrac,0.0323391676768205,SERSurfFrac,0.02345598223932321,HISSurfFrac,0.0226449538494983
exp7_No_modifier,INT_arg_lys_ratio,0.039331254476497754,TRPSurfFrac,0.03923475960658462,ARGSurfFrac,0.0390947589877177,TYRSurfFrac,0.038611992930688316,INT_shape_arg,0.03812028540850554,GLNSurfFrac,0.03606021695201686,INT_gln_charge,0.0318158613141484,THRSurfFrac,0.02987357651446784,HISSurfFrac,0.02500077131969094,SERSurfFrac,0.023276232296408905
exp8_0.01M,ILESurfFrac,0.032627931287401185,ARGSurfFrac,0.030205305196016108,INT_shape_arg,0.028829298683889892,INT_aliphatic_cluster,0.02882120526041509,INT_arg_lys_ratio,0.027106583584178473,GLNSurfFrac,0.025550936739686995,SurfNegMhpStd,0.020596960882492944,ALASurfFrac,0.01955658296166483,TRPSurfFrac,0.017879467785752903,Isoelectric point,0.017568072890212175
exp8_0.025M,ILESurfFrac,0.03123296741407477,ARGSurfFrac,0.028567559157621457,INT_shape_arg,0.02823424531563674,INT_aliphatic_cluster,0.028005574503340788,GLNSurfFrac,0.026928364310827402,THRSurfFrac,0.024969723323913225,INT_arg_lys_ratio,0.024391761387560298,TRPSurfFrac,0.01942217362724704,SurfNegMhpStd,0.01903760407682852,Isoelectric point,0.018992141306345873
exp8_0M,ILESurfFrac,0.037354586575921424,ARGSurfFrac,0.03299197496868435,INT_shape_arg,0.03210763487123414,INT_aliphatic_cluster,0.02955898246500034,INT_arg_lys_ratio,0.028754670587560403,ALASurfFrac,0.027337851046438915,THRSurfFrac,0.022350666921836564,INT_gln_charge,0.021488047255118152,GLNSurfFrac,0.020780001555292252,SurfNegMhpStd,0.020168090884250332
exp9_0.01M,INT_arg_lys_ratio,0.043567022622583454,TRPSurfFrac,0.041548947713518074,ARGSurfFrac,0.0402028280853721,GLNSurfFrac,0.039781188542299645,INT_shape_arg,0.03911868798260561,TYRSurfFrac,0.03357357542680824,INT_gln_charge,0.03152845219260148,THRSurfFrac,0.024889749167300624,CYSSurfFrac,0.023754214010855586,HISSurfFrac,0.022031259398771146
exp9_0.025M,INT_arg_lys_ratio,0.03963539743064888,ARGSurfFrac,0.037713363930942746,INT_shape_arg,0.03760784718183958,TRPSurfFrac,0.03709574587827541,TYRSurfFrac,0.03369971074541185,GLNSurfFrac,0.03307967776286774,THRSurfFrac,0.030800677530747986,INT_gln_charge,0.029840997421601758,HISSurfFrac,0.023770785944397747,SERSurfFrac,0.019933848000651858
exp9_0M,TRPSurfFrac,0.04261701321682704,INT_arg_lys_ratio,0.0417463217860506,TYRSurfFrac,0.040785776349934216,ARGSurfFrac,0.03881657985992708,INT_shape_arg,0.03760717641288482,GLNSurfFrac,0.037235011211791146,INT_gln_charge,0.03426685024982947,THRSurfFrac,0.0289580885731338,SERSurfFrac,0.02518353681909867,CYSSurfFrac,0.02376803846178838
